nsteps       simpsons                    milne
9.00515952103614          -33.8239194993927        -35.0025744957343
9.01444713515213          -34.0862837638602        -34.191644279518
9.02364928266429          -33.9039622070662        -33.3931365833002
9.03276752220443          -33.3443464191308        -32.8625083322381
9.04180337015285          -33.169993031986        -33.8239194993927
9.05075830215172          -35.0025744957343        -34.7794309444201
9.05963375455148          -33.555655512798        -33.555655512798
9.06843112579349          -inf        -35.0025744957343
9.07715177773244          -33.9039622070662        -35.2902565681861
9.08579703690158          -33.680818655752        -32.77795094421
9.09436819572376          -34.191644279518        -36.3888688568542
9.10286651367095          -33.0930319908499        -33.2978264034959
9.11129321837495          -33.2108150265063        -33.0215730268678
9.11964950669168          -33.3443464191308        -36.3888688568542
9.12793654572137          -33.9039622070662        -35.6957216762943
9.13615547378681          -33.9909735840559        -32.8625083322381
9.14430740137174          -33.6162801346144        -34.7794309444201
9.15239341202133          -33.2978264034959        -32.9548816523691
9.16041456320646          -33.4444298776878        -36.3888688568542
9.16837188715368          -33.9909735840559        -34.5971093876262
9.17626639164243          -33.4984970989581        -33.680818655752
9.18409906077096          -34.4429587077989        -33.4444298776878
9.19187085569252          -34.7794309444201        -32.604679222936
9.19958271532322          -33.9909735840559        -33.3443464191308
9.2072355570227          -33.1307723188327        -35.2902565681861
9.21483027724904          -33.555655512798        -32.6276687411607
9.2223677521889          -33.4984970989581        -33.9039622070662
9.22984883836423          -35.0025744957343        -33.8239194993927
9.23727437321626          -33.9039622070662        -32.2779949926809
9.24464517566817          -35.6957216762943        -32.6511992385709
9.251962046667          -34.4429587077989        -33.680818655752
9.25922576970599          -33.9039622070662        -33.3443464191308
9.26643711132805          -32.5387212551442        -33.169993031986
9.2735968216112          -33.2978264034959        -35.6957216762943
9.28070563463675          -33.2978264034959        -36.3888688568542
9.28776426894099          -34.4429587077989        -33.9909735840559
9.29477342795101          -36.3888688568542        -35.6957216762943
9.30173380040539          -33.680818655752        -33.6162801346144
9.30864606076031          -32.7512826971278        -35.6957216762943
9.31551086958172          -32.6276687411607        -34.3094273151744
9.32232887392423          -33.680818655752        -34.0862837638602
9.32910070769702          -33.0215730268678        -33.4984970989581
9.3358269920176          -32.3635171661191        -32.5387212551442
9.3425083355536          -32.9876714751921        -34.191644279518
9.34914533485336          -33.2978264034959        -32.8923612953878
9.35573857466554          -35.0025744957343        -33.8239194993927
9.36228862824824          -32.8335207953648        -32.7253072107246
9.36879605766816          -35.6957216762943        -33.4444298776878
9.37526141408997          -33.749811527239        -33.9039622070662
9.38168523805651          -33.3931365833002        -33.749811527239
9.38806805975991          -32.77795094421        -35.2902565681861
9.39441039930425          -34.0862837638602        -33.9909735840559
9.40071276695985          -34.0862837638602        -32.9876714751921
9.4069756634096          -32.5822063670839        -35.0025744957343
9.41319957998769          -33.4444298776878        -inf
9.41938499891089          -32.7253072107246        -32.9876714751921
